Time (s),Race Time,Speed,Gs
0.0,0.0,0,0.01
0.03,0.0,0,0.01
0.07,0.0,0,0.01
0.1,0.0,0,0.01
0.13,0.0,0,0.01
0.17,0.0,0,0.01
0.2,0.0,0,0.01
0.23,0.0,0,0.01
0.27,0.0,0,0.01
0.3,0.0,0,0.01
0.33,0.0,0,0.01
0.37,0.0,0,0.01
0.4,0.0,0,0.01
0.43,0.0,0,0.01
0.47,0.0,0,0.01
0.5,0.0,0,0.01
0.53,0.0,0,0.01
0.57,0.0,0,0.01
0.6,0.0,0,0.01
0.63,0.0,0,0.01
0.67,0.0,0,0.01
0.7,0.0,0,0.01
0.73,0.0,0,0.01
0.77,0.0,0,0.01
0.8,0.0,0,0.01
0.83,0.0,0,0.01
0.87,0.0,0,0.01
0.9,0.0,0,0.01
0.93,0.0,0,0.01
0.97,0.0,0,0.01
1.0,0.0,0,0.01
1.03,0.0,0,0.01
1.07,0.0,0,0.01
1.1,0.0,0,0.01
1.13,0.0,0,0.01
1.17,0.0,0,0.01
1.2,0.0,0,0.01
1.23,0.0,0,0.01
1.27,0.0,0,0.01
1.3,0.0,0,0.0
1.33,0.0,0,0.01
1.37,0.0,0,0.01
1.4,0.0,0,0.01
1.43,0.0,0,0.01
1.47,0.0,0,0.01
1.5,0.0,0,0.01
1.53,0.0,0,0.02
1.57,0.0,0,0.01
1.6,0.0,0,0.01
1.63,0.0,0,0.01
1.67,0.0,0,0.01
1.7,0.0,0,0.01
1.73,0.0,0,0.01
1.77,0.0,0,0.01
1.8,0.0,0,0.01
1.83,0.0,0,0.01
1.87,0.0,0,0.02
1.9,0.0,0,0.01
1.93,0.0,0,0.01
1.97,0.0,0,0.01
2.0,0.0,0,0.01
2.03,0.0,0,0.01
2.07,0.0,0,0.01
2.1,0.0,0,0.01
2.13,0.0,0,0.01
2.17,0.0,0,0.01
2.2,0.0,0,0.01
2.23,0.0,0,0.01
2.27,0.0,0,0.01
2.3,0.0,0,0.01
2.33,0.0,0,0.01
2.37,0.0,0,0.0
2.4,0.0,0,0.01
2.43,0.0,0,0.03
2.47,0.0,0,0.64
2.5,0.0,0,0.95
2.53,0.0,2,0.98
2.57,0.0,,0.99
2.6,0.0,5,1.04
2.63,0.0,,1.13
2.67,0.0,9,1.18
2.7,0.0,10,1.16
2.73,0.0,11,1.18
2.77,0.0,13,1.23
2.8,0.0,15,1.24
2.83,0.0,16,1.26
2.87,0.0,17,1.25
2.9,0.0,18,1.26
2.93,0.0,19,1.25
2.97,0.0,21,1.2
3.0,0.0,24,1.2
3.03,0.0,25,1.26
3.07,0.0,27,1.02
3.1,0.0,28,1.05
3.13,0.0,30,1.11
3.17,0.0,32,1.21
3.2,0.0,33,1.25
3.23,0.0,34,0.97
3.27,0.0,36,0.7
3.3,0.0,38,0.93
3.33,0.0,39,1.14
